ID,NAME,FPRD__DEFAULT_VALUE__C,FPRD__DEVELOPERNAME__C,FPRD__HEADER__C,FPRD__HEADER_ORDER__C,FPRD__HIDDEN__C,FPRD__IMPORTANT__C,FPRD__LABEL__C,FPRD__LOV_LABELS__C,FPRD__LOV_VALUES__C,FPRD__LOWER_LIMIT__C,FPRD__MANDATORY__C,FPRD__MAP_FIELD__C,FPRD__ORDER__C,FPRD__PRODUCT__C,FPRD__READ_ONLY__C,FPRD__RELATED_MAP_FIELDS__C,FPRD__SECTION_NAME__C,FPRD__SECTION_ORDER__C,FPRD__TYPE__C,FPRD__UPPER_LIMIT__C,FPRD__VALUES_CONTROL_FIELD__C,FPRD__VISIBILITY_CONDITION__C,FPRD__VISIBILITY_CONTROL_FIELD__C,FPRD__VISIBILITY_CONTROL_VALUE__C,FPRD__PRODUCT__R.UNIQUE_ID__C,FPRD__PRODUCT__R.NAME
a0i3B000000pyr1QAA,PC-000427,,cpliq_Manual_PC00005,false,,false,false,Manual,,,,false,cpliq_Manual__c,3,01t3B00000215lEQAQ,false,,Criterios de pago y liquidación,3,textArea,,,,Tipo_amortizacion_PC00005,Manual,161720,Financiamiento de Importación
a0i3B000000pyoAQAQ,PC-000250,,da_Used_Risk_PC00005,false,,false,false,Riesgo Utilizado,,,,false,da_Used_Risk__c,11,01t3B00000215lEQAQ,false,,Datos adicionales,2,number,,,,,,161720,Financiamiento de Importación
a0i3B000000pylJQAQ,PC-000073,02,Periodicidad_Gracia_PC00005,false,,false,false,Periodicidad de gracia,"Días,Meses","01,02",,false,cpliq_Periodicidad_gracia__c,6,01t3B00000215lEQAQ,false,,Criterios de pago y liquidación,3,LIST,,,,Tipo_amortizacion_PC00005,En cuotas,161720,Financiamiento de Importación
a0i3B000000pykXQAQ,PC-000025,03,gipr_Tipo_garantia_PC00005,false,,false,false,Tipo garantía,"Dineraria,No dineraria,Sin garantía","01,02,03",,false,gipr_Tipo_Garantia__c,6,01t3B00000215lEQAQ,false,,Información general del producto,1,LIST,,,,,,161720,Financiamiento de Importación
a0i3B000000pykaQAA,PC-000028,,da_Riesgo_Aprobado_PC00005,false,,false,false,Riesgo Aprobado,,,,false,da_Approved_Risk__c,11,01t3B00000215lEQAQ,false,,Datos adicionales,2,number,,,,,,161720,Financiamiento de Importación
a0i3B000000pyoIQAQ,PC-000258,02,Periodicidad_PC00005,false,,false,false,Periodicidad,"Días,Meses","01,02",,false,cpliq_Periodicidad__c,4,01t3B00000215lEQAQ,false,,Criterios de pago y liquidación,3,LIST,,,,Tipo_amortizacion_PC00005,"Al vencimiento,En cuotas",161720,Financiamiento de Importación
a0i3B000000pylPQAQ,PC-000079,,da_Observations_PC00005,false,,false,false,Observaciones,,,,false,da_Observations__c,13,01t3B00000215lEQAQ,false,,Datos adicionales,2,textArea,,,,,,161720,Financiamiento de Importación
a0i3B000000pytdQAA,PC-000589,100,gipr_Cobertura_PC00005,false,,false,false,Cobertura (%),,,,false,gipr_Cobertura__c,8,01t3B00000215lEQAQ,false,,Información general del producto,1,number,,,,gipr_Tipo_garantia_PC00005,"Dineraria,No dineraria",161720,Financiamiento de Importación
a0i3B000000pyrPQAQ,PC-000451,,da_Amount_PC00005,false,,false,false,Importe,,,,false,da_Amount__c,4,01t3B00000215lEQAQ,false,,Datos adicionales,2,number,,,,da_Replacement_financing_PC00005,Si,161720,Financiamiento de Importación
a0i3B000000pytlQAA,PC-000597,,da_Exporter_PC00005,false,,false,false,Exportador,,,,false,da_Exporter__c,6,01t3B00000215lEQAQ,false,,Datos adicionales,2,text,,,,,,161720,Financiamiento de Importación
a0i3B000000pytrQAA,PC-000603,01,da_Replacement_financing_PC00005,false,,false,false,Financiamiento de reemplazo,"No,Si","01,02",,false,da_Replacement_financing__c,1,01t3B00000215lEQAQ,false,,Datos adicionales,2,LIST,,,,,,161720,Financiamiento de Importación
a0i3B000000pyqLQAQ,PC-000385,01,da_Replacement_Reason_PC00005,false,,false,false,Motivo de reemplazo,"Solarización,Dolarización,Protesto,Pre a Post,Pre a Post Sepymex,Cap. Intereses","01,02,03,04,05,06",,false,da_Replacement_Reason__c,5,01t3B00000215lEQAQ,false,,Datos adicionales,2,LIST,,,,da_Replacement_financing_PC00005,Si,161720,Financiamiento de Importación
a0i3B000000pyqMQAQ,PC-000386,01,gipr_PaymentM_PC00005,false,,false,false,Medio de Pago,"Sin medio de pago,Carta de crédito,Cobranza documentaria,Transferencia","01,02,03,04",,false,gipr_Payment_Method__c,10,01t3B00000215lEQAQ,false,,Información general del producto,1,LIST,,,,,,161720,Financiamiento de Importación
a0i3B000000pyn0QAA,PC-000178,,n_PC00005,false,,false,false,Plazo,,,,false,cpliq_n__c,3,01t3B00000215lEQAQ,false,,Criterios de pago y liquidación,3,number,,,,Tipo_amortizacion_PC00005,"Al vencimiento,En cuotas",161720,Financiamiento de Importación
